City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bazarak,35.3129,69.5152,5.36,50,100,1.58,AF,1701207880
1,shambu,9.5667,37.1,10.46,79,16,1.13,ET,1701207880
2,pisco,-13.7,-76.2167,22.03,73,0,11.83,PE,1701207420
3,la cruz,23.9167,-106.9,28.26,45,1,5.73,MX,1701207755
4,ushuaia,-54.8,-68.3,6.81,81,75,12.35,AR,1701207403
5,blackmans bay,-43.0167,147.3167,14.07,94,86,0.89,AU,1701207418
6,adamstown,-25.066,-130.1015,23.12,86,69,6.62,PN,1701207395
7,georgetown,5.4112,100.3354,25.96,89,20,1.54,MY,1701207430
8,talnakh,69.4865,88.3972,-23.7,97,31,1.94,RU,1701207421
9,kavaratti,10.5669,72.642,28.52,74,83,3.84,IN,1701207484
10,katsuura,35.1333,140.3,12.02,59,0,5.04,JP,1701207517
11,atafu village,-8.5421,-172.5159,26.67,85,100,6.38,TK,1701207410
12,puerto baquerizo moreno,-0.9,-89.6,27.55,78,75,5.14,EC,1701207152
13,kristiansund,63.1115,7.732,-3.64,68,75,3.6,NO,1701207428
14,arica,-18.475,-70.3042,23.75,64,0,5.14,CL,1701207883
15,albany,42.6001,-73.9662,-0.79,75,54,0.45,US,1701207343
16,banjarmasin,-3.3244,114.591,24.08,97,100,1.13,ID,1701207883
17,canico,32.6333,-16.85,22.23,82,20,0.0,PT,1701207883
18,klyuchi,52.2667,79.1667,-1.45,68,100,3.44,RU,1701207413
19,grytviken,-54.2811,-36.5092,-0.52,65,15,4.59,GS,1701207392
20,margaret river,-33.95,115.0667,15.44,87,2,0.79,AU,1701207412
21,wailua homesteads,22.0669,-159.378,22.44,88,75,4.12,US,1701207424
22,west island,-12.1568,96.8225,25.99,65,40,3.6,CC,1701207432
23,kirovskiy,45.0917,133.5136,-19.45,96,75,0.94,RU,1701207884
24,nuuk,64.1835,-51.7216,1.34,47,75,8.75,GL,1701207452
25,bilibino,68.0546,166.4372,-31.45,100,100,0.67,RU,1701207421
26,nizhniy kuranakh,58.8353,125.4869,-16.52,96,100,3.53,RU,1701207408
27,bizhbulyak,53.6967,54.2642,-3.95,95,100,3.72,RU,1701207885
28,nouadhibou,20.931,-17.0347,20.99,49,0,4.12,MR,1701207505
29,papatowai,-46.5619,169.4708,10.37,56,88,5.79,NZ,1701207399
30,port-aux-francais,-49.35,70.2167,5.78,98,100,10.9,TF,1701207395
31,soroti,1.7146,33.6111,21.08,73,62,0.98,UG,1701207886
32,invercargill,-46.4,168.35,10.01,77,91,4.02,NZ,1701207396
33,port saint john's,-31.6229,29.5448,20.45,81,98,6.83,ZA,1701207468
34,kokshetau,53.2775,69.3883,-1.09,81,96,2.85,KZ,1701207887
